"Fecha","Ultimo","Apertura","Diferencia","Maximo","Minimo","Volumen"
19/08/11,"8141,9",8289,"-2,10%",8293,8015,328676000
18/08/11,"8317,7","8612,5","-4,70%","8644,2","8166,4",255857000
17/08/11,"8728,2","8636,3","0,60%","8795,3","8552,3",166738000
16/08/11,"8674,3","8664,8","-0,40%","8674,3","8494,2",183972000
15/08/11,8709,"8727,5","0,70%","8731,4","8581,4",125248000
12/08/11,"8647,3","8302,7","4,80%","8647,3",8046,307890000
11/08/11,"8249,4","8207,1","3,60%","8293,7","7767,3",518475000
10/08/11,7966,"8637,6","-5,50%",8646,"7933,8",449668000
09/08/11,"8428,9","8530,1","-0,40%","8660,8","8101,9",466340000
08/08/11,"8459,4","8727,6","-2,40%","9030,8","8453,6",428022000
05/08/11,"8671,2","8479,4","-0,20%","8920,7","8462,7",467593000
04/08/11,"8686,5","9217,7","-3,90%","9219,7","8686,5",385372000
03/08/11,"9037,7","9033,7","-0,80%","9297,3","8958,6",306543000
02/08/11,"9114,9","9236,1","-2,20%","9342,6","9114,9",387974000
01/08/11,"9318,2",9713,"-3,20%","9752,3","9316,4",290079000
29/07/11,"9630,7","9540,3","-0,30%",9679,"9499,8",254006000
28/07/11,9657,"9544,3","0,10%","9707,4","9517,1",247610000
27/07/11,"9643,3","9762,2","-1,90%","9782,2","9569,7",238022000
26/07/11,"9833,4","9897,8","-0,30%","9930,3","9756,9",201925000
25/07/11,"9866,2","10005,2","-1,90%","10009,6","9826,6",211892000
22/07/11,"10059,3","10099,3","0,40%","10221,5","10017,2",377171000
21/07/11,"10017,6","9803,1","2,90%","10073,5","9650,5",369237000
20/07/11,"9732,8","9546,6","3,10%","9744,4","9531,3",293575000
19/07/11,"9443,8","9395,5","1,00%","9540,7","9379,4",218847000
18/07/11,"9347,8","9443,8","-1,40%","9511,1","9332,2",235905000
15/07/11,"9484,2","9553,4","-1,20%","9607,1","9449,8",287267000
14/07/11,"9598,6","9563,5","-0,70%","9678,4","9535,4",205287000
